room,start time,end time,mean,std,min,median,max,sun,diff,preMean,preStd,preMin,preMedian,preMax,preSun,preDiff
1,2016/01/05 10:13:33,2016/01/05 10:14:28,132.96625,4.51659450723,129.285,131.76,156.555,2,27.27,141.1585,11.0591448913,123.3,138.9825,184.68,2,61.38
1,2016/01/05 10:14:28,2016/01/05 10:15:22,197.92025,36.3339477258,143.28,186.0975,302.715,2,159.435,132.96625,4.51659450723,129.285,131.76,156.555,2,27.27
1,2016/01/05 10:15:23,2016/01/05 10:16:17,151.9955,4.86181915571,147.735,150.03,170.19,2,22.455,197.92025,36.3339477258,143.28,186.0975,302.715,2,159.435
1,2016/01/05 10:16:17,2016/01/05 10:17:12,191.7335,63.3701846956,55.53,164.0025,329.625,2,274.095,151.9955,4.86181915571,147.735,150.03,170.19,2,22.455
1,2016/01/05 10:17:12,2016/01/05 10:18:06,212.264,20.864325146,147.42,219.195,267.03,2,119.61,191.7335,63.3701846956,55.53,164.0025,329.625,2,274.095
1,2016/01/05 10:18:07,2016/01/05 10:19:01,372.2525,107.859878871,154.35,414.6075,535.77,2,381.42,212.264,20.864325146,147.42,219.195,267.03,2,119.61
1,2016/01/05 10:19:01,2016/01/05 10:19:55,399.4465,29.4463027428,339.03,415.1475,439.02,2,99.99,372.2525,107.859878871,154.35,414.6075,535.77,2,381.42
1,2016/01/05 10:19:56,2016/01/05 10:20:50,373.28775,25.916756202,266.4,373.3425,480.78,2,214.38,399.4465,29.4463027428,339.03,415.1475,439.02,2,99.99
1,2016/01/05 10:20:50,2016/01/05 10:21:44,264.7615,56.1801650764,224.1,240.75,396.09,2,171.99,373.28775,25.916756202,266.4,373.3425,480.78,2,214.38
1,2016/01/05 10:21:45,2016/01/05 10:22:39,265.65025,24.3507492243,160.74,271.215,293.85,2,133.11,264.7615,56.1801650764,224.1,240.75,396.09,2,171.99
1,2016/01/05 10:22:39,2016/01/05 10:23:33,369.337,79.1274048707,194.58,390.5775,489.915,2,295.335,265.65025,24.3507492243,160.74,271.215,293.85,2,133.11
1,2016/01/05 10:23:33,2016/01/05 10:24:28,178.86925,76.0772038428,86.715,200.52,391.86,2,305.145,369.337,79.1274048707,194.58,390.5775,489.915,2,295.335
1,2016/01/05 10:24:28,2016/01/05 10:25:22,121.712,9.88701426142,103.95,123.615,147.06,2,43.11,178.86925,76.0772038428,86.715,200.52,391.86,2,305.145
1,2016/01/05 10:25:22,2016/01/05 10:26:17,180.7775,100.147037045,119.79,122.985,547.785,2,427.995,121.712,9.88701426142,103.95,123.615,147.06,2,43.11
1,2016/01/05 10:26:17,2016/01/05 10:27:13,298.13725,23.1469883852,162.585,300.78,356.805,2,194.22,180.7775,100.147037045,119.79,122.985,547.785,2,427.995
1,2016/01/05 10:27:13,2016/01/05 10:28:07,310.3495,32.4670449209,212.76,311.805,369.0,2,156.24,298.13725,23.1469883852,162.585,300.78,356.805,2,194.22
1,2016/01/05 10:28:08,2016/01/05 10:29:02,357.7225,35.9504622681,170.415,361.35,449.055,2,278.64,310.3495,32.4670449209,212.76,311.805,369.0,2,156.24
1,2016/01/05 10:29:02,2016/01/05 10:29:57,343.83675,28.0682211577,225.54,344.385,390.555,2,165.015,357.7225,35.9504622681,170.415,361.35,449.055,2,278.64
1,2016/01/05 10:29:57,2016/01/05 10:30:51,321.913,20.6716384161,222.525,323.6175,347.355,2,124.83,343.83675,28.0682211577,225.54,344.385,390.555,2,165.015
1,2016/01/05 10:30:51,2016/01/05 10:31:46,341.68125,13.2460666964,289.8,347.1075,369.135,2,79.335,321.913,20.6716384161,222.525,323.6175,347.355,2,124.83
1,2016/01/05 10:31:46,2016/01/05 10:32:40,336.9285,65.3701159704,231.975,363.8925,463.41,2,231.435,341.68125,13.2460666964,289.8,347.1075,369.135,2,79.335
1,2016/01/05 10:32:41,2016/01/05 10:33:35,300.4075,92.7058678582,81.405,297.225,460.215,2,378.81,336.9285,65.3701159704,231.975,363.8925,463.41,2,231.435
1,2016/01/05 10:33:35,2016/01/05 10:34:29,167.2975,76.356177728,69.075,129.42,313.245,2,244.17,300.4075,92.7058678582,81.405,297.225,460.215,2,378.81
1,2016/01/05 10:34:29,2016/01/05 10:35:24,190.221,59.9600048529,91.17,197.2125,308.16,2,216.99,167.2975,76.356177728,69.075,129.42,313.245,2,244.17
1,2016/01/05 10:35:24,2016/01/05 10:36:18,147.831,35.1591860475,112.635,133.7625,220.995,2,108.36,190.221,59.9600048529,91.17,197.2125,308.16,2,216.99
1,2016/01/05 10:36:18,2016/01/05 10:37:13,210.4455,35.6612919195,118.485,222.1425,268.92,2,150.435,147.831,35.1591860475,112.635,133.7625,220.995,2,108.36
1,2016/01/05 10:37:13,2016/01/05 10:38:07,241.4005,38.6430741809,175.14,246.8025,359.235,2,184.095,210.4455,35.6612919195,118.485,222.1425,268.92,2,150.435
1,2016/01/05 10:38:08,2016/01/05 10:39:02,216.06575,51.3384240173,131.355,233.5275,290.34,2,158.985,241.4005,38.6430741809,175.14,246.8025,359.235,2,184.095
1,2016/01/05 10:39:02,2016/01/05 10:39:56,250.08375,142.438105731,117.99,160.0425,542.025,2,424.035,216.06575,51.3384240173,131.355,233.5275,290.34,2,158.985
